+──────+─────────+──────────+─────────+──────────+
| RAA  | Wins    | EFscore  | Salary  | Value    |
| 28   | 0.099   | 0.127    |         | 544323   |
| 26   | 0.094   | 0.036    | 675000  | 541433   |
| 26   | 0.094   | 0.095    |         | 541433   |
| 26   | 0.093   | 0.041    |         | 540855   |
| 22   | 0.079   | 0.048    | 375000  | 532762   |
| 22   | 0.078   | 0.043    | 170000  | 532184   |
| 21   | 0.076   | 0.037    | 250000  | 531028   |
| 15   | 0.053   | 0.078    |         | 517733   |
| 14   | 0.05    | 0.051    | 1350000 | 515999   |
| 13   | 0.048   | 0.088    | 325000  | 514843   |
| 12   | 0.042   | 0.03     |         | 511374   |
| 9    | 0.034   | 0.088    | 325000  | 506750   |
| 9    | 0.031   | 0.015    |         | 505016   |
| 8    | 0.029   | 0.047    |         | 503860   |
| 7    | 0.024   | 0.055    |         | 500970   |
| 5    | 0.019   | 0.089    |         | 498079   |
| 3    | 0.011   | 0.088    |         | 493455   |
| 3    | 0.009   | 0.011    |         | 492299   |
| 2    | 0.008   | 0.022    |         | 491721   |
| 2    | 0.007   | 0.002    |         | 491143   |
| 1    | 0.002   | 0.011    |         | 488252   |
| 0    | 0       | 0        |         | 487096   |
| -2   | -0.006  | 0.01     |         | 483628   |
| -4   | -0.016  | 0.009    |         | 477848   |
| -7   | -0.024  | 0.019    | 225000  | 473223   |
| -7   | -0.026  | 0.047    | 475000  | 472067   |
| -8   | -0.029  | 0.016    |         | 470333   |
| -9   | -0.032  | 0.108    |         | 468599   |
| -9   | -0.034  | 0.02     |         | 467443   |
| -11  | -0.041  | 0.026    | 300000  | 463396   |
| -12  | -0.044  | 0.045    | 900000  | 461662   |
| -13  | -0.048  | 0.009    |         | 459350   |
| -14  | -0.049  | 0.002    |         | 458772   |
| -15  | -0.053  | 0.039    | 525000  | 456460   |
| -16  | -0.057  | 0.046    | 350000  | 454147   |
| -17  | -0.06   | 0.002    |         | 452413   |
| -18  | -0.065  | 0.026    | 150000  | 449523   |
| -19  | -0.067  | 0.001    |         | 448367   |
| -19  | -0.069  | 0.008    |         | 447211   |
| -21  | -0.076  | 0.002    |         | 443164   |
| -22  | -0.078  | 0.096    | 625000  | 442008   |
| -22  | -0.08   | 0.006    | 125000  | 440852   |
| -23  | -0.081  | 0.001    |         | 440274   |
| -23  | -0.083  | 0.002    |         | 439118   |
| -24  | -0.085  | 0        | 225000  | 437962   |
| -26  | -0.092  | 0        |         | 433916   |
| -27  | -0.096  | 0        |         | 431603   |
| -27  | -0.097  | 0.02     |         | 431025   |
| -27  | -0.098  | 0.004    |         | 430447   |
| -30  | -0.109  | 0.008    |         | 424089   |
| -34  | -0.123  | 0.01     | 100000  | 415996   |
| -35  | -0.124  | 0.064    | 350000  | 415418   |
| -35  | -0.127  | 0.003    |         | 413684   |
| -37  | -0.132  | 0.103    | 275000  | 410794   |
| -37  | -0.133  | 0.016    |         | 410216   |
| -38  | -0.136  | 0.01     |         | 408481   |
| -40  | -0.142  | 0.048    |         | 405013   |
| -41  | -0.147  | 0.012    | 400000  | 402123   |
| -41  | -0.148  | 0.002    |         | 401545   |
| -41  | -0.148  | 0.03     | 500000  | 401545   |
| -42  | -0.151  | 0.107    | 450000  | 399811   |
| -43  | -0.155  | 0.03     |         | 397498   |
| -43  | -0.155  | 0.039    | 200000  | 397498   |
| -45  | -0.161  | 0.036    |         | 394030   |
| -49  | -0.177  | 0.001    |         | 384781   |
| -50  | -0.181  | 0.09     | 350000  | 382469   |
| -50  | -0.181  | 0.001    |         | 382469   |
| -51  | -0.183  | 0.067    |         | 381313   |
| -51  | -0.183  | 0.005    |         | 381313   |
| -52  | -0.188  | 0.049    |         | 378423   |
| -52  | -0.188  | 0.107    | 875000  | 378423   |
| -53  | -0.192  | 0.054    | 225000  | 376111   |
| -55  | -0.197  | 0.004    | 200000  | 373220   |
| -55  | -0.199  | 0.015    |         | 372064   |
| -55  | -0.199  | 0.018    |         | 372064   |
| -57  | -0.204  | 0.032    |         | 369174   |
| -58  | -0.21   | 0.018    | 110000  | 365706   |
| -60  | -0.215  | 0.002    |         | 362815   |
| -61  | -0.22   | 0.014    |         | 359925   |
| -62  | -0.224  | 0.037    |         | 357613   |
| -62  | -0.225  | 0.049    | 675000  | 357035   |
| -63  | -0.226  | 0.093    |         | 356457   |
| -68  | -0.246  | 0.065    | 200000  | 344896   |
| -69  | -0.249  | 0.023    |         | 343162   |
| -69  | -0.249  | 0.126    | 550000  | 343162   |
| -70  | -0.253  | 0.038    |         | 340849   |
| -71  | -0.257  | 0.006    |         | 338537   |
| -72  | -0.26   | 0.008    |         | 336803   |
| -72  | -0.26   | 0.005    |         | 336803   |
| -72  | -0.261  | 0.038    | 575000  | 336225   |
| -74  | -0.265  | 0.025    | 675000  | 333913   |
| -76  | -0.273  | 0.012    |         | 329288   |
| -78  | -0.281  | 0.029    | 500000  | 324664   |
| -84  | -0.302  | 0.007    |         | 312525   |
| -85  | -0.304  | 0.031    |         | 311369   |
| -85  | -0.306  | 0.026    |         | 310213   |
| -96  | -0.345  | 0.03     | 425000  | 287669   |
| -100 | -0.359  | 0.049    | 650000  | 279576   |
| -102 | -0.366  | 0.049    |         | 275530   |
| -109 | -0.392  | 0.113    |         | 260500   |
| -112 | -0.402  | 0.004    |         | 254720   |
| -112 | -0.403  | 0.089    | 600000  | 254142   |
| -114 | -0.409  | 0.064    | 950000  | 250674   |
| -118 | -0.425  | 0.035    |         | 241425   |
| -118 | -0.426  | 0.077    | 675000  | 240847   |
| -120 | -0.432  | 0.006    |         | 237378   |
| -122 | -0.44   | 0.063    | 500000  | 232754   |
| -131 | -0.471  | 0.026    |         | 214834   |
| -131 | -0.473  | 0.045    |         | 213678   |
| -142 | -0.511  | 0.078    |         | 191712   |
| -158 | -0.57   | 0.096    |         | 157607   |
| -161 | -0.578  | 0.06     | 175000  | 152983   |
| -165 | -0.594  | 0.037    |         | 143734   |
| -236 | -0.849  | 0.08     | 900000  | -3669    |
| 338  | 1.366   | 0.238    | 375000  | 1331596  |
| 256  | 1.037   | 0.195    | 300000  | 1145098  |
| 191  | 0.775   | 0.177    | 950000  | 996579   |
| 189  | 0.766   | 0.196    |         | 991477   |
| 156  | 0.63    | 0.174    | 750000  | 914384   |
| 149  | 0.601   | 0.181    | 500000  | 897945   |
| 143  | 0.578   | 0.108    | 1500000 | 884907   |
| 139  | 0.564   | 0.154    |         | 876971   |
| 135  | 0.545   | 0.129    | 575000  | 866200   |
| 127  | 0.513   | 0.135    | 275000  | 848061   |
| 122  | 0.493   | 0.147    |         | 836723   |
| 121  | 0.491   | 0.123    | 700000  | 835590   |
| 121  | 0.489   | 0.093    |         | 834456   |
| 119  | 0.48    | 0.135    | 1350000 | 829354   |
| 117  | 0.473   | 0.149    | 700000  | 825386   |
| 108  | 0.438   | 0.151    | 250000  | 805546   |
| 107  | 0.431   | 0.184    | 650000  | 801578   |
| 102  | 0.412   | 0.093    |         | 790807   |
| 101  | 0.408   | 0.084    | 475000  | 788540   |
| 99   | 0.4     | 0.099    | 525000  | 784005   |
| 97   | 0.393   | 0.075    |         | 780037   |
| 96   | 0.389   | 0.073    |         | 777770   |
| 88   | 0.354   | 0.105    |         | 757929   |
| 82   | 0.331   | 0.12     | 600000  | 744891   |
| 81   | 0.327   | 0.16     |         | 742624   |
| 74   | 0.298   | 0.11     |         | 726185   |
| 61   | 0.248   | 0.151    | 875000  | 697842   |
| 57   | 0.23    | 0.037    |         | 687638   |
| 53   | 0.216   | 0.046    |         | 679702   |
| 51   | 0.208   | 0.08     |         | 675167   |
| 46   | 0.184   | 0.029    | 175000  | 661562   |
| 45   | 0.182   | 0.027    | 50000   | 660429   |
| 44   | 0.179   | 0.098    |         | 658728   |
| 43   | 0.174   | 0.09     |         | 655894   |
| 43   | 0.174   | 0.158    |         | 655894   |
| 38   | 0.153   | 0.042    | 200000  | 643990   |
| 37   | 0.15    | 0.117    |         | 642289   |
| 36   | 0.148   | 0.109    |         | 641155   |
| 32   | 0.129   | 0.051    | 450000  | 630385   |
| 30   | 0.121   | 0.036    | 225000  | 625850   |
| 27   | 0.109   | 0.141    |         | 619047   |
| 26   | 0.106   | 0.065    |         | 617347   |
| 26   | 0.105   | 0.036    |         | 616780   |
| 24   | 0.096   | 0.02     |         | 611678   |
| 22   | 0.088   | 0.049    |         | 607143   |
| 19   | 0.076   | 0.036    |         | 600341   |
| 19   | 0.075   | 0.021    |         | 599774   |
| 18   | 0.072   | 0.027    |         | 598073   |
| 18   | 0.072   | 0.034    | 625000  | 598073   |
| 16   | 0.065   | 0.011    |         | 594105   |
| 16   | 0.065   | 0.052    | 170000  | 594105   |
| 15   | 0.06    | 0.04     | 450000  | 591271   |
| 15   | 0.06    | 0.021    | 140000  | 591271   |
| 11   | 0.046   | 0.022    | 225000  | 583335   |
| 11   | 0.045   | 0.065    |         | 582768   |
| 10   | 0.042   | 0.126    |         | 581068   |
| 7    | 0.028   | 0.177    | 925000  | 573131   |
| 6    | 0.024   | 0.005    |         | 570864   |
| 6    | 0.023   | 0.017    |         | 570297   |
| 5    | 0.021   | 0.037    |         | 569163   |
| 4    | 0.018   | 0.086    | 700000  | 567463   |
| 4    | 0.017   | 0.008    |         | 566896   |
| 4    | 0.017   | 0.024    |         | 566896   |
| 4    | 0.015   | 0.046    |         | 565762   |
| 3    | 0.014   | 0.044    |         | 565195   |
| 2    | 0.01    | 0.079    | 725000  | 562928   |
| 1    | 0.004   | 0.018    |         | 559527   |
| 0    | 0       | 0.001    |         | 557259   |
| 0    | 0       | 0        |         | 557259   |
| 0    | -0.001  | 0.004    |         | 556692   |
| -2   | -0.009  | 0.058    | 900000  | 552157   |
| -2   | -0.01   | 0.041    |         | 551591   |
| -6   | -0.023  | 0.007    |         | 544221   |
| -6   | -0.026  | 0.109    | 675000  | 542521   |
| -7   | -0.029  | 0.107    |         | 540820   |
| -8   | -0.031  | 0.016    |         | 539686   |
| -8   | -0.031  | 0.023    |         | 539686   |
| -10  | -0.039  | 0.018    | 325000  | 535152   |
| -10  | -0.04   | 0.039    | 450000  | 534585   |
| -10  | -0.042  | 0.006    |         | 533451   |
| -11  | -0.043  | 0.003    |         | 532884   |
| -11  | -0.045  | 0        |         | 531750   |
| -12  | -0.049  | 0.014    |         | 529483   |
| -13  | -0.051  | 0.003    |         | 528349   |
| -13  | -0.052  | 0.036    |         | 527782   |
| -14  | -0.056  | 0.047    |         | 525515   |
| -16  | -0.064  | 0.065    |         | 520980   |
| -18  | -0.071  | 0.002    |         | 517012   |
| -18  | -0.072  | 0.014    |         | 516445   |
| -22  | -0.088  | 0.001    | 75000   | 507375   |
| -22  | -0.088  | 0.001    |         | 507375   |
| -22  | -0.089  | 0.048    |         | 506808   |
| -23  | -0.092  | 0        |         | 505108   |
| -23  | -0.092  | 0        |         | 505108   |
| -23  | -0.095  | 0.085    |         | 503407   |
| -24  | -0.097  | 0        |         | 502273   |
| -26  | -0.104  | 0.002    | 675000  | 498305   |
| -26  | -0.105  | 0.057    |         | 497738   |
| -27  | -0.107  | 0.022    |         | 496605   |
| -27  | -0.11   | 0.107    | 850000  | 494904   |
| -28  | -0.113  | 0.011    |         | 493204   |
| -28  | -0.113  | 0.01     | 650000  | 493204   |
| -28  | -0.114  | 0.003    |         | 492637   |
| -29  | -0.116  | 0.086    | 950000  | 491503   |
| -29  | -0.118  | 0.006    |         | 490369   |
| -31  | -0.127  | 0.031    |         | 485267   |
| -32  | -0.131  | 0.002    | 150000  | 483000   |
| -35  | -0.14   | 0.017    |         | 477898   |
| -36  | -0.144  | 0.054    |         | 475631   |
| -37  | -0.151  | 0.01     |         | 471663   |
| -38  | -0.152  | 0.003    |         | 471096   |
| -38  | -0.155  | 0.055    | 1550000 | 469395   |
| -39  | -0.158  | 0.002    |         | 467695   |
| -39  | -0.159  | 0.06     | 625000  | 467128   |
| -40  | -0.161  | 0.016    |         | 465994   |
| -40  | -0.163  | 0.001    |         | 464860   |
| -41  | -0.167  | 0.001    |         | 462593   |
| -43  | -0.172  | 0.001    |         | 459759   |
| -43  | -0.174  | 0.031    | 1550000 | 458625   |
| -44  | -0.178  | 0.038    | 200000  | 456357   |
| -44  | -0.18   | 0.044    |         | 455224   |
| -45  | -0.184  | 0.044    | 150000  | 452956   |
| -46  | -0.186  | 0.06     | 250000  | 451822   |
| -47  | -0.188  | 0.014    |         | 450689   |
| -47  | -0.19   | 0.036    | 325000  | 449555   |
| -48  | -0.196  | 0.03     |         | 446154   |
| -50  | -0.201  | 0.015    |         | 443320   |
| -53  | -0.212  | 0.019    |         | 437084   |
| -53  | -0.214  | 0.002    | 600000  | 435950   |
| -54  | -0.217  | 0.006    |         | 434250   |
| -54  | -0.217  | 0.03     |         | 434250   |
| -55  | -0.221  | 0.008    |         | 431982   |
| -55  | -0.223  | 0.01     |         | 430848   |
| -55  | -0.224  | 0.044    |         | 430282   |
| -56  | -0.227  | 0.108    | 975000  | 428581   |
| -57  | -0.23   | 0.077    |         | 426880   |
| -58  | -0.236  | 0.007    |         | 423479   |
| -59  | -0.24   | 0.049    |         | 421212   |
| -59  | -0.24   | 0.097    | 400000  | 421212   |
| -59  | -0.241  | 0.028    |         | 420645   |
| -60  | -0.244  | 0.043    |         | 418944   |
| -62  | -0.252  | 0.03     |         | 414409   |
| -66  | -0.267  | 0.023    |         | 405906   |
| -67  | -0.27   | 0.062    | 675000  | 404206   |
| -67  | -0.271  | 0.062    |         | 403639   |
| -69  | -0.278  | 0.017    |         | 399671   |
| -71  | -0.289  | 0.062    | 100000  | 393435   |
| -73  | -0.297  | 0.041    | 425000  | 388901   |
| -76  | -0.306  | 0.116    | 450000  | 383799   |
| -76  | -0.306  | 0.004    | 375000  | 383799   |
| -77  | -0.311  | 0.041    |         | 380964   |
| -79  | -0.32   | 0.061    |         | 375863   |
| -81  | -0.327  | 0.066    | 350000  | 371895   |
| -84  | -0.338  | 0.122    | 475000  | 365659   |
| -85  | -0.343  | 0.057    |         | 362825   |
| -85  | -0.344  | 0.052    | 800000  | 362258   |
| -94  | -0.382  | 0.035    |         | 340717   |
| -96  | -0.39   | 0.097    |         | 336182   |
| -101 | -0.408  | 0.061    |         | 325979   |
| -103 | -0.418  | 0.023    | 160000  | 320310   |
| -103 | -0.418  | 0.107    |         | 320310   |
| -116 | -0.47   | 0.019    |         | 290833   |
| -119 | -0.48   | 0.067    |         | 285164   |
| -134 | -0.544  | 0.146    | 900000  | 248885   |
| -138 | -0.557  | 0.028    |         | 241516   |
| 268  | 0.948   | 0.205    |         | 1047446  |
| 239  | 0.845   | 0.223    | 650000  | 990667   |
| 195  | 0.691   | 0.146    | 475000  | 905775   |
| 160  | 0.566   | 0.126    | 1550000 | 836869   |
| 157  | 0.556   | 0.268    | 900000  | 831356   |
| 157  | 0.556   | 0.121    |         | 831356   |
| 156  | 0.552   | 0.133    |         | 829151   |
| 145  | 0.513   | 0.125    |         | 807652   |
| 124  | 0.438   | 0.09     |         | 766309   |
| 115  | 0.405   | 0.097    | 725000  | 748117   |
| 106  | 0.374   | 0.182    | 925000  | 731029   |
| 100  | 0.354   | 0.148    |         | 720004   |
| 100  | 0.353   | 0.133    |         | 719452   |
| 95   | 0.336   | 0.157    | 850000  | 710081   |
| 92   | 0.326   | 0.151    | 750000  | 704569   |
| 87   | 0.309   | 0.126    |         | 695197   |
| 86   | 0.305   | 0.109    |         | 692992   |
| 80   | 0.283   | 0.121    |         | 680865   |
| 76   | 0.271   | 0.138    |         | 674250   |
| 76   | 0.268   | 0.06     |         | 672596   |
| 76   | 0.268   | 0.109    | 450000  | 672596   |
| 73   | 0.26    | 0.136    | 500000  | 668186   |
| 70   | 0.249   | 0.076    | 1500000 | 662122   |
| 70   | 0.248   | 0.124    | 600000  | 661571   |
| 69   | 0.244   | 0.098    |         | 659366   |
| 67   | 0.237   | 0.117    |         | 655507   |
| 66   | 0.235   | 0.082    |         | 654405   |
| 66   | 0.235   | 0.072    |         | 654405   |
| 66   | 0.233   | 0.059    |         | 653302   |
| 65   | 0.23    | 0.212    | 1350000 | 651649   |
| 65   | 0.229   | 0.066    | 150000  | 651097   |
| 63   | 0.224   | 0.059    |         | 648341   |
| 63   | 0.224   | 0.062    |         | 648341   |
| 62   | 0.22    | 0.116    | 125000  | 646136   |
| 62   | 0.22    | 0.119    |         | 646136   |
| 61   | 0.215   | 0.046    |         | 643380   |
| 58   | 0.206   | 0.118    | 450000  | 638419   |
| 55   | 0.196   | 0.043    |         | 632906   |
| 54   | 0.193   | 0.084    | 200000  | 631252   |
| 49   | 0.173   | 0.09     | 800000  | 620227   |
| 48   | 0.171   | 0.031    |         | 619125   |
| 41   | 0.147   | 0.069    |         | 605895   |
| 41   | 0.144   | 0.045    |         | 604241   |
| 39   | 0.137   | 0.058    | 950000  | 600382   |
| 38   | 0.135   | 0.129    |         | 599280   |
| 37   | 0.132   | 0.073    |         | 597626   |
| 36   | 0.127   | 0.033    |         | 594870   |
| 33   | 0.116   | 0.038    | 700000  | 588806   |
| 31   | 0.11    | 0.099    |         | 585499   |
| 31   | 0.109   | 0.026    |         | 584947   |
| 30   | 0.107   | 0.029    |         | 583845   |
| 28   | 0.101   | 0.063    |         | 580537   |
| 28   | 0.099   | 0.089    | 700000  | 579435   |
| 27   | 0.094   | 0.066    |         | 576679   |
| 24   | 0.086   | 0.042    |         | 572269   |
| 24   | 0.086   | 0.082    | 575000  | 572269   |
| 24   | 0.086   | 0.045    | 140000  | 572269   |
| 23   | 0.083   | 0.032    |         | 570615   |
| 22   | 0.077   | 0.023    |         | 567307   |
| 20   | 0.07    | 0.078    |         | 563449   |
| 19   | 0.066   | 0.11     |         | 561244   |
| 17   | 0.059   | 0.081    | 425000  | 557385   |
| 16   | 0.056   | 0.105    |         | 555731   |
| 11   | 0.039   | 0.007    |         | 546360   |
| 11   | 0.039   | 0.006    |         | 546360   |
| 10   | 0.037   | 0.042    |         | 545257   |
| 10   | 0.037   | 0.061    | 675000  | 545257   |
| 10   | 0.034   | 0.053    |         | 543604   |
| 9    | 0.033   | 0.04     |         | 543052   |
| 9    | 0.031   | 0.084    |         | 541950   |
| 8    | 0.027   | 0.071    |         | 539745   |
| 5    | 0.018   | 0.007    |         | 534784   |
| 4    | 0.014   | 0.041    |         | 532579   |
| 4    | 0.014   | 0.01     |         | 532579   |
| 4    | 0.014   | 0.004    |         | 532579   |
| 3    | 0.011   | 0.002    |         | 530925   |
| 3    | 0.01    | 0.009    |         | 530374   |
| 2    | 0.007   | 0.022    | 100000  | 528720   |
| 2    | 0.006   | 0.018    |         | 528169   |
| 0    | -0.001  | 0.061    | 750000  | 524310   |
| -1   | -0.005  | 0.058    | 50000   | 522105   |
| -1   | -0.005  | 0.033    |         | 522105   |
| -4   | -0.013  | 0.019    |         | 517695   |
| -5   | -0.017  | 0.022    |         | 515490   |
| -5   | -0.017  | 0.02     |         | 515490   |
| -6   | -0.021  | 0        |         | 513285   |
| -8   | -0.028  | 0.007    |         | 509426   |
| -8   | -0.029  | 0.006    | 100000  | 508875   |
| -9   | -0.03   | 0.042    |         | 508324   |
| -9   | -0.032  | 0.007    | 50000   | 507221   |
| -9   | -0.033  | 0.016    | 325000  | 506670   |
| -10  | -0.035  | 0.113    |         | 505567   |
| -10  | -0.036  | 0.012    | 250000  | 505016   |
| -11  | -0.039  | 0.007    |         | 503362   |
| -12  | -0.043  | 0.013    |         | 501157   |
| -12  | -0.043  | 0.008    |         | 501157   |
| -13  | -0.045  | 0.076    |         | 500055   |
| -13  | -0.046  | 0        |         | 499504   |
| -14  | -0.05   | 0.002    | 450000  | 497299   |
| -14  | -0.05   | 0.014    |         | 497299   |
| -16  | -0.057  | 0.004    |         | 493440   |
| -16  | -0.057  | 0.005    |         | 493440   |
| -17  | -0.061  | 0.01     | 250000  | 491235   |
| -17  | -0.061  | 0.018    | 375000  | 491235   |
| -19  | -0.067  | 0        |         | 487927   |
| -19  | -0.068  | 0.01     | 220000  | 487376   |
| -19  | -0.068  | 0.001    |         | 487376   |
| -20  | -0.07   | 0.01     |         | 486274   |
| -20  | -0.072  | 0.025    |         | 485171   |
| -22  | -0.078  | 0.001    |         | 481864   |
| -23  | -0.081  | 0.121    |         | 480210   |
| -24  | -0.085  | 0.009    |         | 478005   |
| -24  | -0.085  | 0.008    |         | 478005   |
| -24  | -0.086  | 0.033    | 300000  | 477454   |
| -24  | -0.086  | 0.013    | 500000  | 477454   |
| -25  | -0.089  | 0        |         | 475800   |
| -26  | -0.091  | 0.065    | 225000  | 474697   |
| -27  | -0.096  | 0        |         | 471941   |
| -27  | -0.096  | 0.007    |         | 471941   |
| -28  | -0.099  | 0.001    |         | 470287   |
| -30  | -0.107  | 0.009    |         | 465877   |
| -32  | -0.113  | 0.012    | 225000  | 462570   |
| -32  | -0.113  | 0.001    |         | 462570   |
| -33  | -0.116  | 0.013    |         | 460916   |
| -33  | -0.116  | 0.024    | 275000  | 460916   |
| -33  | -0.116  | 0.022    |         | 460916   |
| -33  | -0.117  | 0.007    |         | 460365   |
| -33  | -0.117  | 0.001    |         | 460365   |
| -34  | -0.12   | 0.01     |         | 458711   |
| -35  | -0.124  | 0.024    |         | 456506   |
| -37  | -0.131  | 0.002    |         | 452647   |
| -38  | -0.134  | 0.007    | 50000   | 450994   |
| -38  | -0.136  | 0.119    | 475000  | 449891   |
| -40  | -0.14   | 0.059    |         | 447686   |
| -40  | -0.141  | 0.109    | 750000  | 447135   |
| -41  | -0.145  | 0.013    | 100000  | 444930   |
| -42  | -0.147  | 0.049    |         | 443827   |
| -43  | -0.152  | 0.029    |         | 441071   |
| -44  | -0.154  | 0.058    |         | 439969   |
| -45  | -0.16   | 0.016    |         | 436661   |
| -46  | -0.162  | 0.015    |         | 435559   |
| -46  | -0.163  | 0.063    | 525000  | 435007   |
| -47  | -0.167  | 0.042    |         | 432802   |
| -47  | -0.167  | 0.099    | 875000  | 432802   |
| -49  | -0.173  | 0.057    |         | 429495   |
| -50  | -0.178  | 0        |         | 426739   |
| -53  | -0.187  | 0.038    |         | 421777   |
| -53  | -0.188  | 0.005    | 250000  | 421226   |
| -53  | -0.188  | 0.007    |         | 421226   |
| -56  | -0.198  | 0.022    |         | 415714   |
| -58  | -0.203  | 0.058    | 950000  | 412957   |
| -58  | -0.206  | 0.01     |         | 411304   |
| -59  | -0.207  | 0.13     | 675000  | 410752   |
| -59  | -0.21   | 0.083    | 375000  | 409099   |
| -66  | -0.234  | 0.108    | 325000  | 395869   |
| -69  | -0.243  | 0.052    |         | 390907   |
| -69  | -0.243  | 0.033    | 625000  | 390907   |
| -78  | -0.275  | 0.036    | 350000  | 373267   |
| -78  | -0.275  | 0.04     |         | 373267   |
| -79  | -0.279  | 0.024    |         | 371062   |
| -80  | -0.283  | 0.007    |         | 368857   |
| -81  | -0.288  | 0.1      | 400000  | 366101   |
| -82  | -0.29   | 0.048    |         | 364999   |
| -84  | -0.298  | 0.026    | 975000  | 360589   |
| -85  | -0.3    | 0.034    |         | 359486   |
| -86  | -0.303  | 0.098    |         | 357832   |
| -87  | -0.308  | 0.008    |         | 355076   |
| -89  | -0.314  | 0.029    | 170000  | 351769   |
| -92  | -0.327  | 0.025    | 625000  | 344602   |
| -94  | -0.333  | 0.005    | 720000  | 341295   |
| -103 | -0.363  | 0.036    |         | 324757   |
| -107 | -0.379  | 0.027    | 250000  | 315937   |
| -121 | -0.429  | 0.084    | 450000  | 288375   |
| -124 | -0.438  | 0.012    |         | 283414   |
| -137 | -0.486  | 0.074    |         | 256954   |
| -144 | -0.511  | 0.05     | 700000  | 243172   |
| -153 | -0.542  | 0.006    | 900000  | 226084   |
| -167 | -0.591  | 0.054    |         | 199072   |
| -243 | -0.861  | 0.035    |         | 50235    |
| 351  | 1.303   | 0.239    | 650000  | 1674414  |
| 325  | 1.207   | 0.207    |         | 1592801  |
| 267  | 0.99    | 0.16     | 800000  | 1408322  |
| 246  | 0.912   | 0.149    | 400000  | 1342011  |
| 217  | 0.807   | 0.166    |         | 1252747  |
| 199  | 0.739   | 0.159    |         | 1194938  |
| 193  | 0.715   | 0.121    |         | 1174534  |
| 187  | 0.695   | 0.154    | 700000  | 1157532  |
| 185  | 0.687   | 0.12     | 425000  | 1150731  |
| 183  | 0.68    | 0.135    | 425000  | 1144780  |
| 174  | 0.646   | 0.118    | 475000  | 1115875  |
| 164  | 0.608   | 0.17     |         | 1083570  |
| 161  | 0.596   | 0.111    | 1500000 | 1073368  |
| 158  | 0.587   | 0.166    | 2100000 | 1065717  |
| 151  | 0.56    | 0.149    | 1800000 | 1042763  |
| 140  | 0.521   | 0.135    |         | 1009608  |
| 133  | 0.494   | 0.11     |         | 986655   |
| 132  | 0.49    | 0.11     | 700000  | 983254   |
| 131  | 0.486   | 0.162    | 1100000 | 979853   |
| 127  | 0.471   | 0.118    | 300000  | 967101   |
| 126  | 0.468   | 0.162    |         | 964551   |
| 125  | 0.464   | 0.14     | 300000  | 961150   |
| 121  | 0.448   | 0.115    | 2400000 | 947548   |
| 105  | 0.391   | 0.079    | 1100000 | 899091   |
| 93   | 0.347   | 0.072    | 425000  | 861685   |
